"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"167","tv_A",7944.2738229241,164506.029184554,0.000114993344739897,806.402103845853,9.31763500744369e-05,164506.029184554,0.000114993344739897,806.402103845853,9.31763500744369e-05,TRUE,1,0.751700526056667,NA,NA,0.0897713507480581,NA,NA,0.0897713507480581,0.611912377043691,0,6317.20525916339,0.0002033650759,20825168.3276808,1e-04,"4_205_7",4,205,7,1843,3,120000,576.923076923077,810.313086916689,233.390009993612,1197.6002055554,0.3,0.732687391299573,2.07584035629603,1.37088357653795,0.729456546941364,4,FALSE,0.640195053498724,0.128861388967092,0,1.65040411808017,0.785153861441402
"168","web_A",8027.19039420292,60018.141884868,4.19540056654816e-05,339.085547372136,3.91798998495267e-05,60018.141884868,4.19540056654816e-05,339.085547372136,3.91798998495267e-05,TRUE,1,0.751700526056667,NA,NA,0.0897713507480581,NA,NA,0.0897713507480581,0.611912377043691,0,6317.20525916339,0.0002033650759,20825168.3276808,1e-04,"4_205_7",4,205,7,1843,3,280000,1346.15384615385,1626.47040380302,280.316557649174,0.160890667230069,0.7,0.267312608700426,0.000119518781370909,0.214350506731671,4.66525605769536,4,FALSE,0.284915539365036,0.0340472550442729,0.0190499951302657,0.553988303140476,0.00109712307679748
"169","(Intercept)",8670223.23284274,1803406432.43128,1.26062089407109,8670223.23284274,0.999940987893742,1803406432.43128,1.26062089407109,8670223.23284274,0.999940987893742,TRUE,1,0.751943262426529,NA,NA,0.0897274599985225,NA,NA,0.0897274599985225,0.317505619450962,0,4293.04053289188,0.0001061573544,20825168.3276808,1e-04,"4_206_6",4,206,6,1851,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"170","Total_Sales_B",-0.94500649597892,-372927913.508161,-0.260684841362646,0,0,-372927913.508161,-0.260684841362646,0,0,FALSE,1,0.751943262426529,NA,NA,0.0897274599985225,NA,NA,0.0897274599985225,0.317505619450962,0,4293.04053289188,0.0001061573544,20825168.3276808,1e-04,"4_206_6",4,206,6,1851,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"171","tv_A",364.111416146226,6905.87204317087,4.8273569578356e-06,33.8523139371121,3.90420354028951e-06,6905.87204317087,4.8273569578356e-06,33.8523139371121,3.90420354028951e-06,TRUE,1,0.751943262426529,NA,NA,0.0897274599985225,NA,NA,0.0897274599985225,0.317505619450962,0,4293.04053289188,0.0001061573544,20825168.3276808,1e-04,"4_206_6",4,206,6,1851,1,120000,576.923076923077,805.043940271961,228.120863348884,47.6421632300138,0.3,0.0754896234213896,0.0825797495986907,0.0575489336930906,17.3765165716713,4,FALSE,0.640195053498724,0.128861388967092,0,1.65040411808017,0.594286434542374
"172","web_A",12078.0482773533,84575.2048277747,5.91199345909495e-05,477.826015976128,5.510790271773e-05,84575.2048277747,5.91199345909495e-05,477.826015976128,5.510790271773e-05,TRUE,1,0.751943262426529,NA,NA,0.0897274599985225,NA,NA,0.0897274599985225,0.317505619450962,0,4293.04053289188,0.0001061573544,20825168.3276808,1e-04,"4_206_6",4,206,6,1851,1,280000,1346.15384615385,1785.88713361893,439.733287465085,0.0412416832933026,0.7,0.924510376578611,3.06366790178819e-05,0.302054302956338,3.31066298414742,4,FALSE,0.284915539365036,0.0340472550442729,0.0190499951302657,0.553988303140476,0.00183282925127344
"173","(Intercept)",8635623.90540353,1796209772.32394,1.25559026983925,8635623.90540353,0.999902081808203,1796209772.32394,1.25559026983925,8635623.90540353,0.999902081808203,TRUE,1,0.751166315575592,NA,NA,0.089867869336961,NA,NA,0.089867869336961,0.0438164745115792,0,8877.10816336103,0.0003263008851,20825168.3276808,1e-04,"4_207_7",4,207,7,1861,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"174","Total_Sales_B",-0.926931509846527,-365794981.730735,-0.255698764639783,0,0,-365794981.730735,-0.255698764639783,0,0,FALSE,1,0.751166315575592,NA,NA,0.089867869336961,NA,NA,0.089867869336961,0.0438164745115792,0,8877.10816336103,0.0003263008851,20825168.3276808,1e-04,"4_207_7",4,207,7,1861,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"175","tv_A",2170.4874497197,41753.9804351163,2.91869537562764e-05,204.676374681943,2.36990789991875e-05,41753.9804351163,2.91869537562764e-05,204.676374681943,2.36990789991875e-05,TRUE,1,0.751166315575592,NA,NA,0.089867869336961,NA,NA,0.089867869336961,0.0438164745115792,0,8877.10816336103,0.0003263008851,20825168.3276808,1e-04,"4_207_7",4,207,7,1861,2,120000,576.923076923077,833.437519037854,256.514442114777,13.5341345235958,0.3,0.269017073745175,0.023459166507566,0.347949836959303,2.8739774926722,4,FALSE,0.640195053498724,0.128861388967092,0,1.65040411808017,0.573829951010715
"176","web_A",15299.9306732638,113455.426365091,7.93078467779217e-05,640.991109407297,7.42191127980759e-05,113455.426365091,7.93078467779217e-05,640.991109407297,7.42191127980759e-05,TRUE,1,0.751166315575592,NA,NA,0.089867869336961,NA,NA,0.089867869336961,0.0438164745115792,0,8877.10816336103,0.0003263008851,20825168.3276808,1e-04,"4_207_7",4,207,7,1861,2,280000,1346.15384615385,1958.45095979974,612.297113645898,0.80713267966389,0.7,0.730982926254825,0.000599584276321747,0.405197951303898,2.46792955586787,4,FALSE,0.284915539365036,0.0340472550442729,0.0190499951302657,0.553988303140476,0.0201636173620056
