DATE,TP_LUMINOUS_SALES_VALUE,TV_LUMINOUS_SPEND,GL_LUMINOUS_SPEND,FB_LUMINOUS_SPEND,DV_LUMINOUS_SPEND,TV_LUMINOUS_TRP,GL_LUMINOUS_IMPRESSIONS,FB_LUMINOUS_IMPRESSIONS,DV_LUMINOUS_IMPRESSIONS,TP_LUMINOUS_AVG_PRICE,TP_COLGATE_NOAD_AVG_PRICE,TP_COMPETITORS_AVG_PRICE,TP_COMPETITORS_SALES_VALUE
2020-04-20,7101070.057451725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.2920681392761,124.58109654418938,216.09422837760684,16560381.089986302
2020-04-27,9219903.906576335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.2709865133085,125.65027511765932,212.206876710531,21023122.98939086
2020-05-04,7245127.854719758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.8592027736788,129.2022722758892,215.6530261654657,17653788.088202477
2020-05-11,8851039.98055309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.8354714319319,127.42236324127668,211.7363158994957,21633522.95155032
2020-05-18,7656313.956514001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.3335233351859,129.7638447857379,207.1174357550395,19478152.1025151
2020-05-25,8835532.000552863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0061546455422,128.39184743100665,213.9552252428657,23777913.9061328
2020-06-01,8372302.093587816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.7688852171937,130.36988605578512,205.25506628379225,22787006.963134743
2020-06-08,7802903.041541576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.92842967886816,128.7590355873705,206.48091706342805,21561356.98970873
2020-06-15,11409656.047418714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.3325596900535,119.10967718473968,178.65613829243023,31426686.90083036
2020-06-22,10411793.060543016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.01077587325483,117.46804306044768,187.714635088672,27681714.013700373
2020-06-29,10944547.910809517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.15605724040057,119.8902848567491,194.6356698017881,27005309.93471248
2020-07-06,7831146.070152521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.8599366817233,121.7059643369862,186.36963606938772,20808169.93156774
2020-07-13,8965054.875671864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.17942347468414,123.30745899066568,190.7848985075121,23665531.137972023
